[15-Aug-2026 07:53:34 Europe/Kiev] 404 Not Found: [GET] URI -> /test | IP -> 5.248.93.169 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /wp-config | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /new/.env.production | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /phpinfo | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /_profiler/phpinfo/info.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /_phpinfo.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /new/.env.local | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /new/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /app/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /aws-secret.yaml | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /_profiler/phpinfo/phpinfo.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /env.backup | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /awstats/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /portal/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /env/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /lara/info.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /laravel/info.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /lara/phpinfo.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /xampp/phpinfo.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /js/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.vscode/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /mail/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /laravel/core/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /nginx/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /mailer/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /site/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /main/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /xampp/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /public/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /node_modules/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /kyc/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /admin/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.env.bak | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /prod/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /development/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /website/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /service/email_service.py | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /backend/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /node/.env_example | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.env.example | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.env.production.local | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.env.stage | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.env.local | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /server/config/database.js | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /scripts/nodemailer.js | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.env.old | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.env_sample | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /crm/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /core/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.env.prod | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /local/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /apps/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /application/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /info.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /.aws/credentials | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /wp-config.php.bak | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /web/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /dashboard/phpinfo.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /static/js/2.ca066a4b.chunk.js | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /static/js/main.141b0494.js | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /static/js/main.e85f7a37.js | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /app_dev.php/_profiler/phpinfo | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /test.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /admin/server_info.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /server_info.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /server-info | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /config.js | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:32 Europe/Kiev] 404 Not Found: [GET] URI -> /server-info.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
